name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?,What do you think is the most important challenge facing the country today?,Share your thoughts on the current government's performance.,What is your opinion on Narendra Modi's leadership?
Suresh yadav,25,Male,Suburban,2024,Not able to vote,Even before announcement of candidates,Candidate,BSP,No response,Friends/neighbors,Did not feel like voting,Not at all,Yes,No response,5,Healthcare,Yes,No,Don't know,4,Reducing poverty,Statement 1: Promotes development,Arvind Kejriwal,Unemployment among the youth is alarming.,Global relations have strengthened under this government.,His communication skills are his strongest asset.
Suresh yadav,25,Male,Suburban,2025,Not able to vote,Even before announcement of candidates,PM candidate,AAP,No good alternative,Other,Was ill,Not at all,No,No response,1,Healthcare,Yes,No,Don't know,2,Reducing poverty,No response,Arvind Kejriwal,Accessibility for the differently-abled is often ignored.,Skill development initiatives are showing results slowly.,His leadership is visionary but divisive at times.
Asha Pandey,26,Non-binary,Urban,2020,Able to vote,During the campaign,Candidate,BJP,No good alternative,Family member,No response,Somewhat,Don't know,Much better,5,Economy,Yes,Yes,Yes,5,Global image,Statement 1: Promotes development,Narendra Modi,The disparity in healthcare costs is concerning.,Corruption scandals are less frequent but not eradicated.,He has a strong focus on national security.
Asha Pandey,26,Non-binary,Urban,2021,Able to vote,A day or two before voting,PM candidate,Not sure,Really wanted to vote,Local political leader,No response,Somewhat,Yes,Better,5,Other,Not sure,Yes,Don't know,2,Other,No response,Arvind Kejriwal,Accessibility for the differently-abled is often ignored.,Education initiatives are underfunded and overlooked.,Social welfare programs have expanded under his tenure.
Asha Pandey,26,Non-binary,Urban,2022,Not able to vote,After announcement of candidates,Candidate,BJP,No good alternative,Other,Other,Somewhat,Yes,Worse,3,Education,Yes,No,Yes,1,Modi's leadership,No response,Narendra Modi,Agriculture reforms are needed for farmer sustainability.,Environmental conservation is not getting due priority.,Agricultural reforms under him are controversial but necessary.
Asha Pandey,26,Non-binary,Urban,2023,Not able to vote,After announcement of candidates,No response,INC,Really wanted to vote,"No one, I voted on my own",Did not feel like voting,Somewhat,Yes,Much worse,1,National Security,Not sure,Yes,Yes,5,Other,No response,Priyanka Gandhi,Access to quality education is a significant concern.,Public transport systems have improved drastically.,Agricultural reforms under him are controversial but necessary.
Asha Pandey,26,Non-binary,Urban,2024,Not able to vote,During the campaign,PM candidate,Not sure,No response,"No one, I voted on my own",Did not feel like voting,Not at all,Did not respond,No response,5,Education,Not sure,Yes,Don't know,5,Modi's leadership,Statement 2: Important for the same party to remain,No response,The divide between urban and rural areas is widening.,Social harmony remains a challenge for this government.,His ability to connect with the masses is unmatched.
Asha Pandey,26,Non-binary,Urban,2025,Not able to vote,No response,PM candidate,BSP,No good alternative,Caste/community leader,Other,Not at all,Yes,Much worse,3,Other,No,Yes,Yes,1,Reducing poverty,No response,Arvind Kejriwal,Poverty alleviation programs are not reaching the grassroots.,Technology integration in governance is appreciated.,Agricultural reforms under him are controversial but necessary.
Suresh Mehta,18,Male,Suburban,2020,Not able to vote,During the campaign,No response,INC,No response,Don't know,Did not feel like voting,Somewhat,Yes,Much worse,5,Healthcare,Yes,No,Don't know,3,Employment opportunities,No response,Other,Water scarcity is a growing challenge in arid regions.,The push for renewable energy is commendable.,Modi has brought India global recognition like never before.
Suresh Mehta,18,Male,Suburban,2021,Able to vote,Even before announcement of candidates,PM candidate,Not sure,No good alternative,Family member,No response,Somewhat,Don't know,Better,1,National Security,No,Yes,Yes,4,Improving infrastructure,Statement 1: Promotes development,Priyanka Gandhi,Women safety and empowerment need more focus.,The push for renewable energy is commendable.,He has set a high bar for future leadership.
Suresh Mehta,18,Male,Suburban,2022,Able to vote,A day or two before voting,PM candidate,BJP,No response,Friends/neighbors,No response,Somewhat,Did not respond,Much better,1,Economy,No,No,Yes,5,Reducing poverty,Statement 1: Promotes development,Narendra Modi,Skilled labor training is insufficient to meet industry demands.,Employment generation has not kept up with promises.,His policies have been harsh on small businesses.
Suresh Mehta,18,Male,Suburban,2023,Not able to vote,A day or two before voting,Party,INC,No good alternative,Friends/neighbors,Was ill,No response,Don't know,No response,4,Economy,Yes,No,Yes,5,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,The disparity in healthcare costs is concerning.,Support for startups has been promising.,He has a polarizing effect on the electorate.
Suresh Mehta,18,Male,Suburban,2024,Able to vote,No response,No response,AAP,Really wanted to vote,Other,No response,Great deal,Did not respond,Worse,3,National Security,No,No,Don't know,1,Improving infrastructure,No response,Arvind Kejriwal,Judicial delays are denying timely justice.,The push for renewable energy is commendable.,His communication skills are his strongest asset.
Suresh Mehta,18,Male,Suburban,2025,Able to vote,On the day of voting,PM candidate,BSP,No response,Local political leader,No response,Not at all,No,Worse,5,Economy,Yes,No,No,5,Global image,No response,No response,Poverty alleviation programs are not reaching the grassroots.,"Economic growth is visible, but inflation persists.",Modi's charisma has inspired millions across the nation.
Rahul Pandey,47,Female,Suburban,2020,Able to vote,After announcement of candidates,PM candidate,Not sure,No response,Religious leader,No response,Somewhat,Did not respond,Much worse,2,Healthcare,Not sure,Yes,No,3,Reducing poverty,Statement 2: Important for the same party to remain,Other,Skilled labor training is insufficient to meet industry demands.,The infrastructure development has been remarkable.,The Make in India initiative is gaining traction.
Rahul Pandey,47,Female,Suburban,2021,Able to vote,A day or two before voting,PM candidate,AAP,Really wanted to vote,Other,No response,No response,Did not respond,Remained same,5,Education,Not sure,Yes,Yes,1,Reducing poverty,Statement 1: Promotes development,Arvind Kejriwal,Corruption is still pervasive in many sectors.,Global relations have strengthened under this government.,Agricultural reforms under him are controversial but necessary.
Rahul Pandey,47,Female,Suburban,2022,Able to vote,After announcement of candidates,No response,BSP,Really wanted to vote,Friends/neighbors,No response,Not at all,Yes,Worse,4,Economy,No,Yes,Don't know,2,Modi's leadership,Statement 2: Important for the same party to remain,Priyanka Gandhi,Rising inflation is affecting middle-class families heavily.,"Economic growth is visible, but inflation persists.",He has a strong focus on national security.
Rahul Pandey,47,Female,Suburban,2023,Able to vote,During the campaign,Party,BSP,No good alternative,"No one, I voted on my own",No response,No response,No,Worse,4,Economy,Not sure,Yes,No,4,Employment opportunities,Statement 2: Important for the same party to remain,No response,Access to quality education is a significant concern.,Corruption scandals are less frequent but not eradicated.,Economic policies under him are bold but risky.
Rahul Pandey,47,Female,Suburban,2024,Not able to vote,On the day of voting,No response,BJP,Really wanted to vote,Caste/community leader,Was not in village/city,Not at all,Yes,No response,2,Education,No,No,Yes,2,Reducing poverty,No response,Narendra Modi,Public housing availability is still very low.,Skill development initiatives are showing results slowly.,He has a polarizing effect on the electorate.
Rahul Pandey,47,Female,Suburban,2025,Able to vote,During the campaign,Party,BJP,No good alternative,Friends/neighbors,No response,Somewhat,Yes,Worse,4,Education,Yes,No,Don't know,3,Modi's leadership,No response,Narendra Modi,Judicial delays are denying timely justice.,Support for startups has been promising.,The Make in India initiative is gaining traction.
Kunal Sharma,45,Male,Rural,2020,Not able to vote,During the campaign,Candidate,BSP,No good alternative,Friends/neighbors,Did not have necessary documents,No response,Don't know,Better,1,National Security,Not sure,Yes,Yes,3,No response,Statement 2: Important for the same party to remain,Narendra Modi,Public housing availability is still very low.,Skill development initiatives are showing results slowly.,His leadership is visionary but divisive at times.
Kunal Sharma,45,Male,Rural,2021,Not able to vote,No response,PM candidate,AAP,No good alternative,Don't know,Did not have necessary documents,Somewhat,No,Worse,2,National Security,Not sure,Yes,Don't know,2,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal,Transportation infrastructure needs massive upgrades.,"Defense upgrades are a good move, but expensive.",Social welfare programs have expanded under his tenure.
Kunal Sharma,45,Male,Rural,2022,Able to vote,A day or two before voting,No response,Not sure,No good alternative,Other,No response,Somewhat,Did not respond,Much worse,2,Other,No,No,No,1,No response,No response,Rahul Gandhi,Agriculture reforms are needed for farmer sustainability.,Public transport systems have improved drastically.,His reforms are long-term but challenging in the short term.
Kunal Sharma,45,Male,Rural,2023,Not able to vote,Even before announcement of candidates,No response,Not sure,No good alternative,Other,No response,Not at all,Yes,Remained same,3,Healthcare,No,Yes,Yes,4,Employment opportunities,Statement 2: Important for the same party to remain,Priyanka Gandhi,Healthcare in rural areas is inadequate.,The infrastructure development has been remarkable.,His policies have been harsh on small businesses.
Kunal Sharma,45,Male,Rural,2024,Not able to vote,On the day of voting,Party,INC,No good alternative,Don't know,Was not in village/city,No response,Did not respond,Better,3,Economy,Not sure,No,No,5,Other,Statement 1: Promotes development,No response,Judicial delays are denying timely justice.,Education initiatives are underfunded and overlooked.,Modi's charisma has inspired millions across the nation.
Kunal Sharma,45,Male,Rural,2025,Not able to vote,A day or two before voting,Party,AAP,No good alternative,Don't know,Was ill,Somewhat,Don't know,No response,1,Other,Not sure,Yes,Don't know,5,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal,Water scarcity is a growing challenge in arid regions.,Budget allocations favor the wealthy over the poor.,His governance style is centralized but effective.
Raj Mehta,55,Male,Urban,2020,Not able to vote,A day or two before voting,Party,BSP,Really wanted to vote,Other,Did not feel like voting,Great deal,Yes,Better,3,Education,Not sure,No,Yes,3,Improving infrastructure,No response,No response,Public housing availability is still very low.,Social harmony remains a challenge for this government.,The Make in India initiative is gaining traction.
Raj Mehta,55,Male,Urban,2021,Not able to vote,On the day of voting,Party,BJP,No response,Family member,Was ill,No response,No,Remained same,2,Healthcare,Not sure,No,Don't know,4,Improving infrastructure,No response,Narendra Modi,Access to quality education is a significant concern.,Corruption scandals are less frequent but not eradicated.,Modi's charisma has inspired millions across the nation.
Raj Mehta,55,Male,Urban,2022,Able to vote,Even before announcement of candidates,Candidate,BJP,No response,Local political leader,No response,Not at all,Yes,Much worse,5,Healthcare,Yes,Yes,Don't know,1,No response,Statement 1: Promotes development,Narendra Modi,Skilled labor training is insufficient to meet industry demands.,Corruption scandals are less frequent but not eradicated.,Modi has brought India global recognition like never before.
Raj Mehta,55,Male,Urban,2023,Not able to vote,Even before announcement of candidates,Candidate,BSP,No response,Don't know,Other,Somewhat,Did not respond,Much worse,3,Education,Yes,Yes,No,3,Other,No response,No response,Agriculture reforms are needed for farmer sustainability.,Corruption scandals are less frequent but not eradicated.,He has a polarizing effect on the electorate.
Raj Mehta,55,Male,Urban,2024,Not able to vote,After announcement of candidates,Party,Not sure,Really wanted to vote,Caste/community leader,Was not in village/city,Not at all,Yes,Much better,5,Education,No,Yes,Yes,3,No response,Statement 1: Promotes development,No response,Judicial delays are denying timely justice.,Efforts on poverty alleviation show mixed results.,Modi's charisma has inspired millions across the nation.
Raj Mehta,55,Male,Urban,2025,Not able to vote,During the campaign,Candidate,AAP,No response,Family member,Other,Great deal,No,No response,5,Education,No,No,Don't know,5,Modi's leadership,No response,Arvind Kejriwal,Healthcare in rural areas is inadequate.,The push for renewable energy is commendable.,Modi has brought India global recognition like never before.
Kabir Gupta,49,Female,Urban,2020,Able to vote,During the campaign,No response,INC,No good alternative,Family member,No response,Not at all,No,Much better,5,Education,Yes,No,Yes,5,Other,Statement 2: Important for the same party to remain,Arvind Kejriwal,Poverty alleviation programs are not reaching the grassroots.,Employment generation has not kept up with promises.,His policies have been harsh on small businesses.
Kabir Gupta,49,Female,Urban,2021,Not able to vote,After announcement of candidates,Candidate,BSP,No response,Friends/neighbors,Did not feel like voting,No response,No,Much better,4,Economy,No,Yes,Don't know,2,Employment opportunities,Statement 1: Promotes development,No response,Rising inflation is affecting middle-class families heavily.,The infrastructure development has been remarkable.,His ability to connect with the masses is unmatched.
Kabir Gupta,49,Female,Urban,2022,Not able to vote,After announcement of candidates,PM candidate,INC,Really wanted to vote,Don't know,Did not have necessary documents,Somewhat,No,Better,5,National Security,Yes,No,Don't know,4,Reducing poverty,Statement 2: Important for the same party to remain,Other,The lack of job security in the gig economy is troubling.,The infrastructure development has been remarkable.,Social welfare programs have expanded under his tenure.
Kabir Gupta,49,Female,Urban,2023,Not able to vote,No response,No response,BSP,No good alternative,Friends/neighbors,Was not in village/city,No response,Did not respond,Much better,1,Healthcare,No,Yes,No,2,Other,No response,No response,Rising inflation is affecting middle-class families heavily.,Global relations have strengthened under this government.,Modi's charisma has inspired millions across the nation.
Kabir Gupta,49,Female,Urban,2024,Able to vote,During the campaign,Candidate,INC,No response,Family member,No response,Somewhat,No,Much better,1,Healthcare,No,Yes,Don't know,1,Other,No response,Narendra Modi,Corruption is still pervasive in many sectors.,Employment generation has not kept up with promises.,There is a clear gap between his vision and execution.
Kabir Gupta,49,Female,Urban,2025,Able to vote,On the day of voting,No response,BJP,No response,"No one, I voted on my own",No response,Somewhat,Don't know,No response,4,Economy,Not sure,No,Don't know,4,Other,Statement 2: Important for the same party to remain,Narendra Modi,Access to quality education is a significant concern.,Global relations have strengthened under this government.,His leadership is visionary but divisive at times.
Simran Pandey,25,Male,Suburban,2020,Not able to vote,Even before announcement of candidates,No response,BSP,Really wanted to vote,Local political leader,No response,Somewhat,Don't know,Much worse,4,Economy,No,No,Don't know,2,Global image,No response,No response,The disparity in healthcare costs is concerning.,The push for renewable energy is commendable.,His governance style is centralized but effective.
Simran Pandey,25,Male,Suburban,2021,Not able to vote,During the campaign,Candidate,BJP,No response,Friends/neighbors,Did not have necessary documents,Not at all,Did not respond,Worse,2,Economy,Yes,No,Yes,2,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Rising inflation is affecting middle-class families heavily.,"Defense upgrades are a good move, but expensive.",Digital India is one of his landmark achievements.
Simran Pandey,25,Male,Suburban,2022,Not able to vote,On the day of voting,Candidate,Not sure,No response,Local political leader,Was not in village/city,No response,Did not respond,Worse,4,Education,Not sure,No,Yes,5,Reducing poverty,No response,Other,Transportation infrastructure needs massive upgrades.,Skill development initiatives are showing results slowly.,He has a polarizing effect on the electorate.
Simran Pandey,25,Male,Suburban,2023,Able to vote,No response,Candidate,INC,No good alternative,Don't know,No response,Somewhat,No,Worse,1,Education,No,Yes,Don't know,3,No response,No response,Arvind Kejriwal,The divide between urban and rural areas is widening.,Ease of doing business has improved visibly.,He has set a high bar for future leadership.
Simran Pandey,25,Male,Suburban,2024,Able to vote,After announcement of candidates,PM candidate,BJP,No response,Don't know,No response,No response,Did not respond,Much worse,5,Economy,Not sure,No,Yes,4,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Healthcare in rural areas is inadequate.,Skill development initiatives are showing results slowly.,Agricultural reforms under him are controversial but necessary.
Simran Pandey,25,Male,Suburban,2025,Not able to vote,Even before announcement of candidates,Candidate,BSP,No good alternative,Family member,No response,Somewhat,No,Much better,5,Economy,Yes,No,Yes,4,Employment opportunities,No response,Rahul Gandhi,Environmental degradation is becoming a crisis.,Budget allocations favor the wealthy over the poor.,His governance style is centralized but effective.
Aryan Joshi,55,Non-binary,Suburban,2020,Able to vote,A day or two before voting,Party,Not sure,Really wanted to vote,Family member,No response,Somewhat,Don't know,Much worse,1,National Security,Not sure,Yes,Yes,5,Modi's leadership,Statement 1: Promotes development,Priyanka Gandhi,Skilled labor training is insufficient to meet industry demands.,Support for startups has been promising.,His reforms are long-term but challenging in the short term.
Aryan Joshi,55,Non-binary,Suburban,2021,Able to vote,On the day of voting,Party,Not sure,Really wanted to vote,"No one, I voted on my own",No response,Great deal,Don't know,Better,1,Healthcare,Yes,Yes,Yes,3,Modi's leadership,Statement 2: Important for the same party to remain,No response,Unemployment among the youth is alarming.,Healthcare schemes are ambitious but lack execution.,He has a polarizing effect on the electorate.
Aryan Joshi,55,Non-binary,Suburban,2022,Not able to vote,During the campaign,No response,INC,No response,Family member,Was not in village/city,No response,Don't know,No response,1,Education,Not sure,No,No,4,Other,Statement 1: Promotes development,Priyanka Gandhi,Tax reforms should be simplified for small businesses.,Employment generation has not kept up with promises.,Economic policies under him are bold but risky.
Aryan Joshi,55,Non-binary,Suburban,2023,Not able to vote,Even before announcement of candidates,PM candidate,INC,No good alternative,Friends/neighbors,Was ill,Not at all,Did not respond,Much better,4,National Security,Not sure,Yes,Don't know,5,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal,Environmental degradation is becoming a crisis.,The infrastructure development has been remarkable.,Digital India is one of his landmark achievements.
Aryan Joshi,55,Non-binary,Suburban,2024,Able to vote,During the campaign,Candidate,Not sure,No response,Don't know,No response,No response,No,Better,1,Other,Yes,No,Don't know,5,Global image,Statement 1: Promotes development,Narendra Modi,Corruption is still pervasive in many sectors.,Technology integration in governance is appreciated.,There is a clear gap between his vision and execution.
Aryan Joshi,55,Non-binary,Suburban,2025,Able to vote,A day or two before voting,PM candidate,BJP,No good alternative,Family member,No response,Not at all,Don't know,Remained same,4,National Security,Not sure,No,No,2,No response,Statement 1: Promotes development,Narendra Modi,Skilled labor training is insufficient to meet industry demands.,Corruption scandals are less frequent but not eradicated.,He has set a high bar for future leadership.
Asha Bose,52,Female,Urban,2020,Not able to vote,On the day of voting,Party,INC,No response,Friends/neighbors,Was ill,Somewhat,No,Much better,3,Other,Yes,Yes,Yes,3,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Water scarcity is a growing challenge in arid regions.,The infrastructure development has been remarkable.,Criticism on freedom of speech has grown under his tenure.
Asha Bose,52,Female,Urban,2021,Not able to vote,A day or two before voting,Party,Not sure,No response,Local political leader,Did not have necessary documents,No response,No,Much worse,4,Education,Yes,No,Yes,2,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal,Public housing availability is still very low.,Policy implementation varies significantly by state.,The focus on infrastructure is highly appreciated.
Asha Bose,52,Female,Urban,2022,Not able to vote,On the day of voting,PM candidate,BJP,No good alternative,Religious leader,Other,No response,Did not respond,Much better,4,Economy,Yes,Yes,No,5,Other,No response,Narendra Modi,The disparity in healthcare costs is concerning.,Technology integration in governance is appreciated.,Modi's charisma has inspired millions across the nation.
Asha Bose,52,Female,Urban,2023,Able to vote,A day or two before voting,No response,AAP,No response,Family member,No response,No response,No,No response,1,National Security,Yes,Yes,Don't know,1,Other,Statement 2: Important for the same party to remain,Arvind Kejriwal,Women safety and empowerment need more focus.,Public transport systems have improved drastically.,His communication skills are his strongest asset.
Asha Bose,52,Female,Urban,2024,Able to vote,A day or two before voting,Party,INC,No good alternative,Caste/community leader,No response,Somewhat,No,Better,1,Education,Not sure,No,Don't know,2,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi,Judicial delays are denying timely justice.,Budget allocations favor the wealthy over the poor.,Digital India is one of his landmark achievements.
Asha Bose,52,Female,Urban,2025,Not able to vote,After announcement of candidates,Party,BSP,Really wanted to vote,Don't know,Was ill,Somewhat,Yes,Remained same,5,Healthcare,No,Yes,Don't know,1,Improving infrastructure,Statement 1: Promotes development,Rahul Gandhi,Environmental degradation is becoming a crisis.,Employment generation has not kept up with promises.,Digital India is one of his landmark achievements.
Nisha Sharma,32,Male,Urban,2020,Not able to vote,After announcement of candidates,Candidate,Not sure,No good alternative,Caste/community leader,No response,No response,Don't know,Better,2,Healthcare,Not sure,Yes,Yes,3,Other,No response,No response,Rising inflation is affecting middle-class families heavily.,Support for startups has been promising.,His communication skills are his strongest asset.
Nisha Sharma,32,Male,Urban,2021,Not able to vote,A day or two before voting,Candidate,AAP,No response,"No one, I voted on my own",Was ill,No response,Yes,Much better,1,Education,No,No,Don't know,4,Modi's leadership,Statement 2: Important for the same party to remain,Arvind Kejriwal,The disparity in healthcare costs is concerning.,The infrastructure development has been remarkable.,The focus on infrastructure is highly appreciated.
Nisha Sharma,32,Male,Urban,2022,Not able to vote,Even before announcement of candidates,Candidate,BJP,Really wanted to vote,Don't know,Did not have necessary documents,Somewhat,Did not respond,No response,2,Healthcare,Yes,No,Yes,5,Other,Statement 2: Important for the same party to remain,Narendra Modi,Transportation infrastructure needs massive upgrades.,Global relations have strengthened under this government.,The focus on infrastructure is highly appreciated.
Nisha Sharma,32,Male,Urban,2023,Able to vote,A day or two before voting,Candidate,BJP,No response,"No one, I voted on my own",No response,Great deal,Yes,Better,5,National Security,No,No,No,5,Global image,Statement 2: Important for the same party to remain,Narendra Modi,The disparity in healthcare costs is concerning.,Skill development initiatives are showing results slowly.,His leadership is visionary but divisive at times.
Nisha Sharma,32,Male,Urban,2024,Not able to vote,A day or two before voting,Candidate,Not sure,No response,"No one, I voted on my own",No response,Great deal,No,Remained same,1,Healthcare,No,No,Don't know,2,Improving infrastructure,Statement 2: Important for the same party to remain,No response,Accessibility for the differently-abled is often ignored.,Environmental conservation is not getting due priority.,His ability to connect with the masses is unmatched.
Nisha Sharma,32,Male,Urban,2025,Not able to vote,On the day of voting,Party,AAP,No good alternative,Religious leader,Did not have necessary documents,No response,Yes,Better,3,Healthcare,Not sure,No,No,5,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal,Environmental degradation is becoming a crisis.,Policy implementation varies significantly by state.,His policies have been harsh on small businesses.
Vivaan Singh,44,Non-binary,Suburban,2020,Not able to vote,No response,Party,BJP,No good alternative,Other,Other,Great deal,Did not respond,Better,4,National Security,No,No,Yes,5,Other,No response,Narendra Modi,Environmental degradation is becoming a crisis.,Efforts on poverty alleviation show mixed results.,Agricultural reforms under him are controversial but necessary.
Vivaan Singh,44,Non-binary,Suburban,2021,Able to vote,A day or two before voting,Candidate,Not sure,Really wanted to vote,Friends/neighbors,No response,Somewhat,Yes,Better,4,Other,No,No,Don't know,4,Other,Statement 2: Important for the same party to remain,Priyanka Gandhi,Environmental degradation is becoming a crisis.,Support for startups has been promising.,Modi has brought India global recognition like never before.
Vivaan Singh,44,Non-binary,Suburban,2022,Not able to vote,On the day of voting,Candidate,Not sure,Really wanted to vote,Family member,No response,Great deal,Yes,No response,1,Healthcare,No,Yes,Yes,3,Improving infrastructure,Statement 1: Promotes development,Rahul Gandhi,Skilled labor training is insufficient to meet industry demands.,The crackdown on black money is partially effective.,Digital India is one of his landmark achievements.
Vivaan Singh,44,Non-binary,Suburban,2023,Able to vote,During the campaign,Candidate,Not sure,No good alternative,Don't know,No response,No response,Yes,Much better,2,Healthcare,Yes,Yes,Don't know,1,Employment opportunities,No response,Rahul Gandhi,Women safety and empowerment need more focus.,Social harmony remains a challenge for this government.,The focus on infrastructure is highly appreciated.
Vivaan Singh,44,Non-binary,Suburban,2024,Not able to vote,No response,Party,Not sure,No good alternative,Family member,Did not have necessary documents,No response,Yes,No response,3,Other,No,No,Yes,1,Employment opportunities,Statement 1: Promotes development,Other,Environmental degradation is becoming a crisis.,Ease of doing business has improved visibly.,His ability to connect with the masses is unmatched.
Vivaan Singh,44,Non-binary,Suburban,2025,Not able to vote,No response,No response,BSP,No response,Local political leader,Did not feel like voting,Great deal,Don't know,Worse,2,Education,No,Yes,Yes,5,Reducing poverty,No response,Rahul Gandhi,Environmental degradation is becoming a crisis.,Policy implementation varies significantly by state.,He has a polarizing effect on the electorate.
Meera Das,40,Non-binary,Urban,2020,Not able to vote,No response,PM candidate,BJP,Really wanted to vote,Don't know,Was ill,Great deal,Did not respond,Much better,4,Economy,Yes,Yes,No,2,Modi's leadership,No response,Narendra Modi,Environmental degradation is becoming a crisis.,"Defense upgrades are a good move, but expensive.",The handling of economic crises is his weak point.
Meera Das,40,Non-binary,Urban,2021,Not able to vote,Even before announcement of candidates,No response,Not sure,No response,Religious leader,Was ill,Somewhat,Don't know,Worse,2,National Security,No,No,No,5,Other,Statement 2: Important for the same party to remain,Rahul Gandhi,The divide between urban and rural areas is widening.,Efforts on poverty alleviation show mixed results.,There is a clear gap between his vision and execution.
Meera Das,40,Non-binary,Urban,2022,Able to vote,No response,No response,BJP,No good alternative,Religious leader,No response,Great deal,No,Worse,4,Education,No,Yes,Yes,5,Employment opportunities,Statement 1: Promotes development,Narendra Modi,Healthcare in rural areas is inadequate.,"Economic growth is visible, but inflation persists.",Digital India is one of his landmark achievements.
Meera Das,40,Non-binary,Urban,2023,Not able to vote,Even before announcement of candidates,Candidate,AAP,Really wanted to vote,Friends/neighbors,Other,Not at all,No,Worse,5,Other,No,No,Don't know,1,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal,Transportation infrastructure needs massive upgrades.,Efforts on poverty alleviation show mixed results.,He has a polarizing effect on the electorate.
Meera Das,40,Non-binary,Urban,2024,Able to vote,Even before announcement of candidates,Candidate,Not sure,No good alternative,Don't know,No response,Great deal,Don't know,Much worse,1,Other,No,No,Don't know,5,Global image,Statement 2: Important for the same party to remain,Rahul Gandhi,Tax reforms should be simplified for small businesses.,Employment generation has not kept up with promises.,Modi has brought India global recognition like never before.
Meera Das,40,Non-binary,Urban,2025,Able to vote,A day or two before voting,Party,INC,Really wanted to vote,Other,No response,Somewhat,Did not respond,No response,2,Economy,No,Yes,Yes,2,Global image,No response,Priyanka Gandhi,Women safety and empowerment need more focus.,The crackdown on black money is partially effective.,His communication skills are his strongest asset.
Amit Singh,53,Female,Rural,2020,Not able to vote,On the day of voting,Party,BJP,Really wanted to vote,Local political leader,Was not in village/city,Not at all,No,Remained same,5,National Security,Yes,No,Yes,1,Employment opportunities,No response,Narendra Modi,The divide between urban and rural areas is widening.,Social harmony remains a challenge for this government.,Modi has brought India global recognition like never before.
Amit Singh,53,Female,Rural,2021,Able to vote,During the campaign,Candidate,BSP,Really wanted to vote,Caste/community leader,No response,Great deal,No,Remained same,2,National Security,Not sure,Yes,Don't know,1,Modi's leadership,Statement 2: Important for the same party to remain,Other,Access to quality education is a significant concern.,The push for renewable energy is commendable.,His reforms are long-term but challenging in the short term.
Amit Singh,53,Female,Rural,2022,Not able to vote,After announcement of candidates,PM candidate,BSP,Really wanted to vote,Local political leader,Did not feel like voting,Great deal,Did not respond,Much better,3,National Security,No,Yes,No,1,Other,Statement 1: Promotes development,Arvind Kejriwal,Access to quality education is a significant concern.,Support for startups has been promising.,Agricultural reforms under him are controversial but necessary.
Amit Singh,53,Female,Rural,2023,Not able to vote,On the day of voting,No response,Not sure,No response,Religious leader,Was ill,No response,Don't know,Better,1,National Security,Yes,Yes,Don't know,5,Employment opportunities,Statement 1: Promotes development,Other,Digital literacy is critical for inclusive growth.,Global relations have strengthened under this government.,There is a clear gap between his vision and execution.
Amit Singh,53,Female,Rural,2024,Able to vote,No response,Candidate,BSP,No response,Don't know,No response,Somewhat,Did not respond,Much worse,3,National Security,Yes,No,Yes,4,No response,Statement 2: Important for the same party to remain,Priyanka Gandhi,Access to quality education is a significant concern.,The crackdown on black money is partially effective.,Digital India is one of his landmark achievements.
Amit Singh,53,Female,Rural,2025,Not able to vote,A day or two before voting,Party,INC,No good alternative,Other,Did not have necessary documents,No response,Yes,No response,5,Other,Not sure,No,Don't know,5,Employment opportunities,Statement 2: Important for the same party to remain,Arvind Kejriwal,The disparity in healthcare costs is concerning.,Skill development initiatives are showing results slowly.,His reforms are long-term but challenging in the short term.
Arjun Bose,20,Female,Suburban,2020,Able to vote,Even before announcement of candidates,Party,AAP,No response,Don't know,No response,Great deal,Yes,Remained same,1,Other,Yes,Yes,Don't know,3,Other,No response,Arvind Kejriwal,Skilled labor training is insufficient to meet industry demands.,Budget allocations favor the wealthy over the poor.,His reforms are long-term but challenging in the short term.
