name,age,gender,location,year,Were you able to vote in the recent Lok Sabha election?,When did you decide whom to vote for?,What mattered more to you in this election party or candidate?,Which party do you prefer overall?,Did you vote for this party because you really wanted to or due to lack of alternatives?,Whose opinion mattered the most while deciding whom to vote for?,Why were you not able to vote in the recent Lok Sabha election?,How interested were you in the election campaign this time?,Were you or a family member contacted by political parties through phone or social media?,"As compared to five years ago, how is the economic condition of your household today?",Rate the effectiveness of the recent government policies (1 to 5),What is your top issue for this election?,Do you think the government is handling inflation effectively?,Has your trust in the judiciary improved over the last five years?,Did a candidate or party member visit your house to ask for your vote?,How satisfied are you with the BJP-led NDA government's performance over the last five years? Rate (1 to 5),Which government work in the last five years did you like the most?,Do you think regular change of government promotes development?,What is your opinion on the most suitable Prime Ministerial candidate?
Ishita Gupta,36,Male,Rural,2023,Not able to vote,No response,No response,INC,Really wanted to vote,"No one, I voted on my own",Was ill,Great deal,Yes,Much better,5,Education,No,Yes,Yes,5,Global image,Statement 1: Promotes development,Other
Ishita Gupta,36,Male,Rural,2024,Able to vote,After announcement of candidates,Candidate,AAP,Really wanted to vote,Friends/neighbors,No response,Not at all,No,Much better,1,National Security,Yes,Yes,Yes,2,No response,Statement 1: Promotes development,Priyanka Gandhi
Ishita Gupta,36,Male,Rural,2025,Not able to vote,A day or two before voting,No response,Not sure,No response,"No one, I voted on my own",No response,Not at all,Yes,Much worse,1,Other,No,No,Yes,4,Global image,No response,Arvind Kejriwal
sagar Patil,19,Female,Suburban,2020,Not able to vote,Even before announcement of candidates,No response,BJP,No response,Religious leader,Did not feel like voting,Great deal,No,Better,1,National Security,No,Yes,Yes,1,Employment opportunities,Statement 2: Important for the same party to remain,Other
sagar Patil,19,Female,Suburban,2021,Able to vote,A day or two before voting,Candidate,AAP,No good alternative,"No one, I voted on my own",Was not in village/city,No response,Don't know,Worse,5,Other,Not sure,No,Don't know,1,No response,Statement 1: Promotes development,Rahul Gandhi
sagar Patil,19,Female,Suburban,2022,Able to vote,Even before announcement of candidates,Party,BJP,No good alternative,Religious leader,Was ill,Somewhat,Yes,Worse,4,Healthcare,Not sure,No,Yes,3,Other,Statement 2: Important for the same party to remain,Narendra Modi
sagar Patil,19,Female,Suburban,2023,Able to vote,After announcement of candidates,Candidate,Not sure,No good alternative,Other,Other,Great deal,Did not respond,Much better,3,Healthcare,Not sure,No,Yes,1,No response,No response,Rahul Gandhi
sagar Patil,19,Female,Suburban,2024,Able to vote,No response,PM candidate,BSP,No response,Family member,Was not in village/city,Somewhat,Don't know,Remained same,4,National Security,No,No,Don't know,1,Modi's leadership,Statement 1: Promotes development,Narendra Modi
sagar Patil,19,Female,Suburban,2025,Able to vote,No response,Candidate,Not sure,No response,Don't know,Was not in village/city,Somewhat,No,No response,1,Healthcare,No,No,No,4,Reducing poverty,Statement 2: Important for the same party to remain,No response
sushil Agarwal,26,Female,Rural,2020,Able to vote,No response,PM candidate,BJP,No response,Family member,Other,No response,Don't know,Much worse,2,National Security,Not sure,Yes,Don't know,3,Reducing poverty,Statement 1: Promotes development,Arvind Kejriwal
sushil Agarwal,26,Female,Rural,2021,Not able to vote,Even before announcement of candidates,PM candidate,INC,No good alternative,Caste/community leader,Was ill,Not at all,Don't know,Worse,5,Healthcare,No,Yes,Don't know,4,Reducing poverty,Statement 1: Promotes development,Narendra Modi
sushil Agarwal,26,Female,Rural,2022,Not able to vote,On the day of voting,Party,Not sure,Really wanted to vote,Caste/community leader,Did not feel like voting,No response,Yes,Worse,2,Other,Not sure,No,Don't know,3,Other,No response,Other
sushil Agarwal,26,Female,Rural,2023,Able to vote,No response,PM candidate,AAP,Really wanted to vote,Caste/community leader,Was ill,No response,No,Much better,3,National Security,Yes,Yes,Don't know,3,No response,Statement 1: Promotes development,Narendra Modi
sushil Agarwal,26,Female,Rural,2024,Able to vote,No response,No response,INC,Really wanted to vote,Family member,Did not feel like voting,No response,Don't know,Much worse,3,National Security,No,No,Don't know,4,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
sushil Agarwal,26,Female,Rural,2025,Not able to vote,After announcement of candidates,No response,BJP,No good alternative,Friends/neighbors,Did not have necessary documents,Somewhat,Yes,Much better,1,Economy,No,No,Don't know,3,No response,Statement 1: Promotes development,Other
Kavya Joshi,27,Male,Rural,2020,Not able to vote,No response,PM candidate,BJP,No response,"No one, I voted on my own",Did not have necessary documents,Great deal,Did not respond,Better,5,Education,No,No,No,4,Modi's leadership,Statement 1: Promotes development,Arvind Kejriwal
Kavya Joshi,27,Male,Rural,2021,Able to vote,During the campaign,Party,BJP,Really wanted to vote,Other,No response,Great deal,Don't know,Much worse,2,Education,No,Yes,No,4,Employment opportunities,Statement 1: Promotes development,Other
Kavya Joshi,27,Male,Rural,2022,Not able to vote,After announcement of candidates,Party,BJP,No response,"No one, I voted on my own",Did not feel like voting,Great deal,No,No response,1,National Security,Yes,No,Don't know,1,Improving infrastructure,No response,Other
Kavya Joshi,27,Male,Rural,2023,Able to vote,Even before announcement of candidates,No response,INC,No good alternative,Religious leader,No response,No response,No,Remained same,4,National Security,Not sure,No,Don't know,2,Other,Statement 2: Important for the same party to remain,Priyanka Gandhi
Kavya Joshi,27,Male,Rural,2024,Not able to vote,A day or two before voting,PM candidate,AAP,Really wanted to vote,Caste/community leader,Was ill,No response,No,Worse,3,Healthcare,No,No,No,1,Reducing poverty,No response,Priyanka Gandhi
Kavya Joshi,27,Male,Rural,2025,Not able to vote,A day or two before voting,No response,Not sure,Really wanted to vote,Don't know,Was not in village/city,Somewhat,Did not respond,Worse,3,Other,Yes,Yes,No,4,No response,No response,Rahul Gandhi
Aditya Gupta,30,Non-binary,Rural,2020,Not able to vote,On the day of voting,PM candidate,AAP,No good alternative,Religious leader,Was ill,Somewhat,Don't know,No response,3,Education,Yes,Yes,No,5,Reducing poverty,Statement 1: Promotes development,Other
Aditya Gupta,30,Non-binary,Rural,2021,Not able to vote,A day or two before voting,PM candidate,BJP,No response,Friends/neighbors,Did not have necessary documents,Great deal,Yes,Remained same,5,Other,No,Yes,Yes,2,Reducing poverty,Statement 2: Important for the same party to remain,Rahul Gandhi
Aditya Gupta,30,Non-binary,Rural,2022,Able to vote,After announcement of candidates,No response,BJP,No good alternative,Other,Did not feel like voting,Great deal,Don't know,Better,5,Education,Not sure,No,Yes,2,Reducing poverty,No response,Rahul Gandhi
Aditya Gupta,30,Non-binary,Rural,2023,Not able to vote,No response,PM candidate,Not sure,No good alternative,Local political leader,Did not feel like voting,Not at all,Don't know,Remained same,3,Economy,Yes,No,No,3,Other,No response,Narendra Modi
Aditya Gupta,30,Non-binary,Rural,2024,Able to vote,No response,No response,BSP,No response,Friends/neighbors,Was ill,Not at all,Yes,Remained same,2,Other,No,Yes,Don't know,3,Other,Statement 1: Promotes development,No response
Aditya Gupta,30,Non-binary,Rural,2025,Able to vote,Even before announcement of candidates,Candidate,BSP,No response,Friends/neighbors,Other,Great deal,Did not respond,Much worse,3,National Security,Yes,Yes,No,4,Global image,Statement 2: Important for the same party to remain,Other
Asha Das,39,Female,Urban,2020,Able to vote,A day or two before voting,PM candidate,Not sure,No good alternative,Local political leader,Was not in village/city,Not at all,No,Remained same,5,National Security,No,Yes,Yes,4,Reducing poverty,No response,Priyanka Gandhi
Asha Das,39,Female,Urban,2021,Able to vote,A day or two before voting,Candidate,BJP,Really wanted to vote,Don't know,Other,No response,Yes,Much worse,1,Healthcare,No,No,Don't know,3,Employment opportunities,Statement 2: Important for the same party to remain,No response
Asha Das,39,Female,Urban,2022,Able to vote,A day or two before voting,Party,Not sure,No good alternative,Family member,Was not in village/city,Not at all,Did not respond,Worse,3,National Security,Yes,No,Don't know,1,Global image,No response,No response
Asha Das,39,Female,Urban,2023,Able to vote,Even before announcement of candidates,PM candidate,AAP,No response,Caste/community leader,Was ill,Great deal,Yes,Much better,1,Other,Not sure,Yes,Don't know,5,Reducing poverty,No response,Rahul Gandhi
Asha Das,39,Female,Urban,2024,Not able to vote,Even before announcement of candidates,No response,AAP,Really wanted to vote,"No one, I voted on my own",No response,No response,No,Remained same,3,Economy,Yes,No,Yes,5,Global image,No response,No response
Asha Das,39,Female,Urban,2025,Not able to vote,Even before announcement of candidates,Party,BSP,No good alternative,Religious leader,Was ill,Not at all,Did not respond,Much better,5,Education,Yes,Yes,No,3,No response,Statement 2: Important for the same party to remain,Other
Kunal Malhotra,46,Male,Rural,2020,Not able to vote,During the campaign,No response,BJP,No good alternative,Other,No response,Somewhat,No,No response,1,Other,No,Yes,Don't know,2,Improving infrastructure,Statement 2: Important for the same party to remain,Narendra Modi
Kunal Malhotra,46,Male,Rural,2021,Able to vote,On the day of voting,No response,AAP,Really wanted to vote,"No one, I voted on my own",Was ill,Somewhat,Yes,Worse,3,Education,Yes,No,No,2,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi
Kunal Malhotra,46,Male,Rural,2022,Not able to vote,During the campaign,Party,BJP,No response,Don't know,Was ill,Somewhat,Don't know,Much better,3,Education,No,Yes,No,4,No response,Statement 1: Promotes development,Arvind Kejriwal
Kunal Malhotra,46,Male,Rural,2023,Able to vote,After announcement of candidates,Candidate,AAP,No response,Other,Was not in village/city,Not at all,Don't know,No response,2,Economy,Not sure,No,No,3,Reducing poverty,Statement 2: Important for the same party to remain,Other
Kunal Malhotra,46,Male,Rural,2024,Not able to vote,No response,Party,Not sure,Really wanted to vote,Friends/neighbors,Did not have necessary documents,Not at all,No,No response,4,National Security,No,No,Yes,5,Other,No response,Priyanka Gandhi
Kunal Malhotra,46,Male,Rural,2025,Able to vote,During the campaign,PM candidate,Not sure,Really wanted to vote,"No one, I voted on my own",Did not feel like voting,No response,No,Worse,5,Economy,Yes,Yes,Don't know,1,Global image,Statement 1: Promotes development,Other
Ishita Singh,24,Female,Rural,2020,Able to vote,During the campaign,PM candidate,BSP,No good alternative,Family member,Other,Not at all,Don't know,No response,2,Education,Yes,Yes,Yes,2,Reducing poverty,Statement 1: Promotes development,No response
Ishita Singh,24,Female,Rural,2021,Not able to vote,Even before announcement of candidates,No response,BSP,No good alternative,Friends/neighbors,Did not have necessary documents,No response,No,Better,3,Other,Not sure,No,No,2,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
Ishita Singh,24,Female,Rural,2022,Not able to vote,Even before announcement of candidates,Candidate,AAP,No good alternative,Religious leader,Was ill,Not at all,Don't know,Worse,2,Other,Not sure,No,No,1,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi
Ishita Singh,24,Female,Rural,2023,Able to vote,On the day of voting,Party,Not sure,Really wanted to vote,Friends/neighbors,No response,Not at all,No,Much better,3,National Security,Not sure,Yes,No,5,Employment opportunities,No response,Other
Ishita Singh,24,Female,Rural,2024,Not able to vote,During the campaign,PM candidate,INC,No response,Family member,Did not have necessary documents,Great deal,Did not respond,Much better,1,Healthcare,No,No,No,2,Global image,No response,Rahul Gandhi
Ishita Singh,24,Female,Rural,2025,Not able to vote,No response,PM candidate,Not sure,No response,Other,Was not in village/city,Not at all,No,Worse,2,Other,No,No,No,5,Modi's leadership,No response,Other
sumit ansari,23,Female,Suburban,2020,Able to vote,During the campaign,Candidate,INC,No response,Other,No response,No response,No,Worse,5,Education,Not sure,No,Don't know,3,Global image,Statement 1: Promotes development,Other
sumit ansari,23,Female,Suburban,2021,Able to vote,During the campaign,PM candidate,AAP,Really wanted to vote,Friends/neighbors,Was ill,Not at all,Yes,Better,5,Other,No,No,No,1,Other,No response,Rahul Gandhi
sumit ansari,23,Female,Suburban,2022,Not able to vote,Even before announcement of candidates,Party,BSP,No good alternative,Other,Did not have necessary documents,Somewhat,Did not respond,No response,5,Healthcare,No,No,Don't know,3,Improving infrastructure,No response,Arvind Kejriwal
sumit ansari,23,Female,Suburban,2023,Able to vote,During the campaign,No response,INC,No response,Other,No response,Not at all,Did not respond,Much worse,4,Healthcare,Not sure,No,No,3,Reducing poverty,No response,Priyanka Gandhi
sumit ansari,23,Female,Suburban,2024,Not able to vote,During the campaign,Candidate,AAP,No good alternative,Religious leader,Was ill,Not at all,No,Much better,5,Education,Not sure,Yes,Yes,5,No response,Statement 2: Important for the same party to remain,Narendra Modi
sumit ansari,23,Female,Suburban,2025,Able to vote,Even before announcement of candidates,PM candidate,Not sure,No response,Local political leader,No response,Somewhat,Yes,Much better,1,Economy,Yes,No,Don't know,3,No response,Statement 1: Promotes development,Narendra Modi
Vidya Joshi,60,Male,Rural,2020,Able to vote,Even before announcement of candidates,Candidate,AAP,No good alternative,Don't know,Did not feel like voting,Not at all,Yes,Much better,4,Other,No,Yes,No,4,Global image,No response,Other
Vidya Joshi,60,Male,Rural,2021,Able to vote,Even before announcement of candidates,PM candidate,BSP,No good alternative,Family member,No response,Great deal,No,No response,3,Other,Not sure,No,No,1,Modi's leadership,No response,Other
Vidya Joshi,60,Male,Rural,2022,Able to vote,On the day of voting,No response,INC,No response,Family member,No response,Not at all,Did not respond,Worse,4,National Security,No,No,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,No response
Vidya Joshi,60,Male,Rural,2023,Able to vote,No response,PM candidate,Not sure,No response,"No one, I voted on my own",Did not have necessary documents,Somewhat,Don't know,Much better,4,Healthcare,Not sure,Yes,Don't know,2,Other,Statement 1: Promotes development,Arvind Kejriwal
Vidya Joshi,60,Male,Rural,2024,Able to vote,During the campaign,PM candidate,AAP,No good alternative,Religious leader,Did not have necessary documents,Not at all,Did not respond,No response,3,Economy,Not sure,No,Don't know,3,Employment opportunities,Statement 2: Important for the same party to remain,Other
Vidya Joshi,60,Male,Rural,2025,Not able to vote,On the day of voting,PM candidate,BJP,No good alternative,Religious leader,Did not feel like voting,Great deal,Don't know,Remained same,3,Other,Not sure,Yes,Don't know,4,Modi's leadership,Statement 1: Promotes development,Other
Anjali Joshi,38,Female,Suburban,2020,Not able to vote,On the day of voting,PM candidate,BSP,Really wanted to vote,Other,Was ill,Great deal,No,No response,5,Education,No,No,Yes,3,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi
Anjali Joshi,38,Female,Suburban,2021,Able to vote,After announcement of candidates,No response,Not sure,Really wanted to vote,Don't know,Was ill,Somewhat,Did not respond,Worse,3,Education,No,Yes,Yes,5,Other,Statement 2: Important for the same party to remain,No response
Anjali Joshi,38,Female,Suburban,2022,Not able to vote,During the campaign,Candidate,Not sure,No response,Caste/community leader,Other,No response,No,Remained same,4,Economy,Yes,No,No,1,Improving infrastructure,No response,Rahul Gandhi
Anjali Joshi,38,Female,Suburban,2023,Not able to vote,A day or two before voting,Candidate,Not sure,Really wanted to vote,Caste/community leader,Did not feel like voting,Somewhat,Yes,Worse,5,Education,Yes,No,No,2,Reducing poverty,Statement 1: Promotes development,Rahul Gandhi
Anjali Joshi,38,Female,Suburban,2024,Able to vote,On the day of voting,PM candidate,INC,No good alternative,Local political leader,Was ill,Not at all,No,No response,1,Healthcare,Not sure,Yes,Yes,3,Global image,Statement 1: Promotes development,Rahul Gandhi
Anjali Joshi,38,Female,Suburban,2025,Not able to vote,Even before announcement of candidates,Party,BJP,No good alternative,"No one, I voted on my own",Was not in village/city,Great deal,Did not respond,No response,1,National Security,Yes,No,Don't know,4,No response,Statement 2: Important for the same party to remain,Narendra Modi
Vidya khan,31,Female,Urban,2020,Able to vote,On the day of voting,PM candidate,INC,Really wanted to vote,Other,Was not in village/city,Somewhat,Did not respond,Much worse,4,National Security,Yes,No,No,2,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Vidya khan,31,Female,Urban,2021,Not able to vote,A day or two before voting,PM candidate,BJP,No good alternative,Other,Did not have necessary documents,No response,Yes,Much worse,2,Economy,Yes,No,No,4,No response,Statement 2: Important for the same party to remain,Rahul Gandhi
Vidya khan,31,Female,Urban,2022,Not able to vote,No response,Party,BSP,No good alternative,Local political leader,Did not have necessary documents,No response,Yes,No response,3,Other,Yes,Yes,No,4,Modi's leadership,No response,Other
Vidya khan,31,Female,Urban,2023,Able to vote,During the campaign,Party,AAP,No good alternative,Family member,Was ill,Not at all,Yes,Much better,3,Education,No,No,Yes,3,Reducing poverty,Statement 2: Important for the same party to remain,Narendra Modi
Vidya khan,31,Female,Urban,2024,Not able to vote,During the campaign,PM candidate,BJP,Really wanted to vote,Friends/neighbors,Other,Not at all,Yes,Worse,3,Healthcare,Yes,Yes,Don't know,2,Other,Statement 2: Important for the same party to remain,Rahul Gandhi
Vidya khan,31,Female,Urban,2025,Not able to vote,During the campaign,No response,AAP,No response,Local political leader,Was not in village/city,Not at all,No,Better,1,National Security,Yes,Yes,Don't know,4,Reducing poverty,No response,No response
Vidya Malhotra,56,Non-binary,Rural,2020,Able to vote,After announcement of candidates,No response,BJP,Really wanted to vote,Caste/community leader,Did not have necessary documents,Somewhat,No,Much better,4,Healthcare,No,No,Don't know,5,No response,Statement 1: Promotes development,Priyanka Gandhi
Vidya Malhotra,56,Non-binary,Rural,2021,Able to vote,Even before announcement of candidates,Candidate,BJP,Really wanted to vote,Caste/community leader,No response,Not at all,Yes,Much better,2,Economy,Yes,No,Don't know,4,No response,Statement 1: Promotes development,Rahul Gandhi
Vidya Malhotra,56,Non-binary,Rural,2022,Not able to vote,On the day of voting,Party,Not sure,Really wanted to vote,Don't know,Other,Not at all,Yes,Better,1,Education,Yes,No,Yes,1,Other,No response,Arvind Kejriwal
Vidya Malhotra,56,Non-binary,Rural,2023,Not able to vote,No response,No response,BSP,Really wanted to vote,Local political leader,Was ill,Somewhat,Don't know,Much worse,1,National Security,Yes,Yes,No,4,Reducing poverty,Statement 1: Promotes development,Rahul Gandhi
Vidya Malhotra,56,Non-binary,Rural,2024,Not able to vote,During the campaign,Party,BJP,No response,Family member,No response,No response,Did not respond,Much worse,2,Education,Not sure,Yes,Don't know,4,No response,No response,No response
Vidya Malhotra,56,Non-binary,Rural,2025,Able to vote,During the campaign,No response,BJP,Really wanted to vote,Caste/community leader,Was ill,Somewhat,Don't know,Better,2,Economy,No,No,Don't know,1,Modi's leadership,Statement 2: Important for the same party to remain,Priyanka Gandhi
Aditya Patel,40,Female,Rural,2020,Not able to vote,During the campaign,Party,BSP,Really wanted to vote,Caste/community leader,No response,No response,Did not respond,Remained same,4,National Security,No,No,No,3,Employment opportunities,Statement 2: Important for the same party to remain,No response
Aditya Patel,40,Female,Rural,2021,Able to vote,No response,No response,Not sure,No good alternative,"No one, I voted on my own",Other,No response,No,Better,1,Education,Not sure,Yes,No,5,Other,Statement 1: Promotes development,Rahul Gandhi
Aditya Patel,40,Female,Rural,2022,Able to vote,A day or two before voting,No response,BJP,No good alternative,Religious leader,No response,Great deal,Yes,Much better,2,Education,No,Yes,Don't know,2,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
Aditya Patel,40,Female,Rural,2023,Not able to vote,After announcement of candidates,Party,Not sure,Really wanted to vote,Religious leader,Other,No response,Did not respond,Better,4,National Security,Yes,Yes,No,3,Other,Statement 2: Important for the same party to remain,Arvind Kejriwal
Aditya Patel,40,Female,Rural,2024,Not able to vote,Even before announcement of candidates,No response,AAP,Really wanted to vote,Other,Was ill,Somewhat,Don't know,Better,2,Economy,Yes,Yes,Don't know,3,No response,Statement 1: Promotes development,Narendra Modi
Aditya Patel,40,Female,Rural,2025,Not able to vote,During the campaign,Party,BJP,Really wanted to vote,Other,Did not feel like voting,No response,Did not respond,Remained same,5,Healthcare,Yes,No,No,5,Global image,Statement 2: Important for the same party to remain,Priyanka Gandhi
sachin Saxena,57,Female,Suburban,2020,Able to vote,On the day of voting,Candidate,BSP,Really wanted to vote,Other,Was not in village/city,Not at all,Don't know,Much worse,4,National Security,Yes,No,Don't know,5,Improving infrastructure,Statement 1: Promotes development,Narendra Modi
sachin Saxena,57,Female,Suburban,2021,Not able to vote,During the campaign,PM candidate,Not sure,No good alternative,Local political leader,Was ill,Somewhat,Don't know,Much worse,3,Other,Yes,No,Yes,5,Modi's leadership,No response,Other
sachin Saxena,57,Female,Suburban,2022,Not able to vote,During the campaign,Party,BSP,No response,Religious leader,Was ill,No response,Yes,Much worse,5,Economy,Not sure,Yes,No,5,Modi's leadership,Statement 1: Promotes development,Narendra Modi
sachin Saxena,57,Female,Suburban,2023,Not able to vote,On the day of voting,PM candidate,BSP,No good alternative,Caste/community leader,Was not in village/city,Not at all,Yes,Worse,2,National Security,Not sure,No,No,1,Global image,Statement 1: Promotes development,No response
sachin Saxena,57,Female,Suburban,2024,Able to vote,After announcement of candidates,Party,BSP,No response,Don't know,No response,No response,Don't know,Remained same,5,National Security,Not sure,No,No,3,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi
sachin Saxena,57,Female,Suburban,2025,Not able to vote,No response,No response,Not sure,Really wanted to vote,Other,Was not in village/city,Not at all,Did not respond,No response,1,Economy,Not sure,No,No,2,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi
Nisha Joshi,47,Female,Rural,2020,Not able to vote,After announcement of candidates,Party,BJP,No good alternative,Local political leader,No response,Great deal,Yes,Worse,2,Healthcare,Yes,Yes,Yes,3,Modi's leadership,Statement 1: Promotes development,No response
Nisha Joshi,47,Female,Rural,2021,Able to vote,After announcement of candidates,Candidate,BJP,Really wanted to vote,"No one, I voted on my own",Was not in village/city,No response,Yes,Remained same,3,Economy,No,Yes,Yes,5,No response,No response,Other
Nisha Joshi,47,Female,Rural,2022,Able to vote,No response,Party,Not sure,Really wanted to vote,Family member,Did not have necessary documents,No response,Don't know,Worse,1,National Security,Not sure,No,Yes,2,Global image,No response,Arvind Kejriwal
Nisha Joshi,47,Female,Rural,2023,Not able to vote,During the campaign,No response,INC,No response,Other,Other,Not at all,No,Worse,2,National Security,Yes,No,Don't know,5,Improving infrastructure,No response,Rahul Gandhi
Nisha Joshi,47,Female,Rural,2024,Not able to vote,No response,No response,BJP,No response,Family member,Did not have necessary documents,Great deal,Yes,Better,3,National Security,No,No,No,2,Other,No response,Rahul Gandhi
Nisha Joshi,47,Female,Rural,2025,Not able to vote,After announcement of candidates,Candidate,AAP,No response,Friends/neighbors,Did not have necessary documents,Great deal,Don't know,Much worse,3,Healthcare,Yes,Yes,No,1,Modi's leadership,Statement 2: Important for the same party to remain,Other
sahil Mehta,47,Female,Suburban,2020,Able to vote,After announcement of candidates,PM candidate,INC,No good alternative,Local political leader,Was ill,Not at all,Did not respond,Better,1,Education,Yes,Yes,Don't know,3,Global image,Statement 2: Important for the same party to remain,Arvind Kejriwal
sahil Mehta,47,Female,Suburban,2021,Not able to vote,On the day of voting,Candidate,Not sure,No response,Religious leader,Was ill,Great deal,Don't know,No response,2,Healthcare,No,No,No,2,Modi's leadership,Statement 2: Important for the same party to remain,Narendra Modi
sahil Mehta,47,Female,Suburban,2022,Not able to vote,During the campaign,Party,BSP,No response,Local political leader,No response,Somewhat,Don't know,Worse,4,Other,Yes,Yes,Yes,5,Reducing poverty,Statement 1: Promotes development,Priyanka Gandhi
sahil Mehta,47,Female,Suburban,2023,Able to vote,After announcement of candidates,Candidate,Not sure,No good alternative,Caste/community leader,Did not feel like voting,Great deal,Did not respond,No response,5,National Security,Not sure,No,No,2,Other,Statement 2: Important for the same party to remain,Narendra Modi
sahil Mehta,47,Female,Suburban,2024,Not able to vote,A day or two before voting,Candidate,AAP,No good alternative,Don't know,Did not have necessary documents,No response,Yes,No response,2,Economy,No,Yes,No,2,Other,Statement 1: Promotes development,Narendra Modi
sahil Mehta,47,Female,Suburban,2025,Able to vote,No response,PM candidate,Not sure,No good alternative,Don't know,Did not feel like voting,Not at all,Did not respond,Much worse,4,Other,Not sure,Yes,No,5,Other,No response,Arvind Kejriwal
Ravi Saxena,32,Male,Suburban,2020,Not able to vote,After announcement of candidates,PM candidate,INC,No good alternative,Caste/community leader,Was ill,Not at all,Did not respond,Much better,1,Education,Yes,Yes,Don't know,1,No response,No response,Priyanka Gandhi
Ravi Saxena,32,Male,Suburban,2021,Able to vote,Even before announcement of candidates,No response,INC,No response,Other,Did not have necessary documents,Somewhat,No,Worse,2,Economy,No,No,No,2,No response,No response,Arvind Kejriwal
Ravi Saxena,32,Male,Suburban,2022,Not able to vote,Even before announcement of candidates,PM candidate,AAP,Really wanted to vote,Other,Did not feel like voting,Not at all,Don't know,Much worse,4,Education,Yes,Yes,Don't know,3,Improving infrastructure,No response,Priyanka Gandhi
Ravi Saxena,32,Male,Suburban,2023,Not able to vote,On the day of voting,No response,BJP,No good alternative,Other,Was not in village/city,No response,Did not respond,Much better,3,National Security,Yes,No,Don't know,3,Modi's leadership,Statement 1: Promotes development,Narendra Modi
Ravi Saxena,32,Male,Suburban,2024,Able to vote,Even before announcement of candidates,Party,Not sure,No good alternative,Don't know,Did not feel like voting,Somewhat,No,Better,4,Other,Not sure,No,No,4,Employment opportunities,Statement 2: Important for the same party to remain,Rahul Gandhi
Ravi Saxena,32,Male,Suburban,2025,Able to vote,After announcement of candidates,PM candidate,BJP,No good alternative,Other,No response,Somewhat,Yes,Much better,3,Healthcare,No,No,Yes,5,Reducing poverty,Statement 2: Important for the same party to remain,Priyanka Gandhi
Vidya khan,45,Female,Suburban,2020,Able to vote,After announcement of candidates,No response,BJP,No response,Caste/community leader,Did not feel like voting,Not at all,Did not respond,Better,4,Healthcare,No,No,Don't know,5,Reducing poverty,Statement 2: Important for the same party to remain,Priyanka Gandhi
Vidya khan,45,Female,Suburban,2021,Not able to vote,A day or two before voting,Party,BSP,No response,Religious leader,Other,Great deal,No,Much worse,4,Economy,Yes,No,Don't know,5,No response,Statement 2: Important for the same party to remain,No response
Vidya khan,45,Female,Suburban,2022,Not able to vote,Even before announcement of candidates,Candidate,BJP,No response,Religious leader,Was ill,No response,Don't know,Much better,4,National Security,No,No,No,2,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi
Vidya khan,45,Female,Suburban,2023,Able to vote,On the day of voting,No response,BSP,No response,Friends/neighbors,Did not feel like voting,Somewhat,Yes,Remained same,5,National Security,Not sure,Yes,No,1,No response,Statement 2: Important for the same party to remain,Arvind Kejriwal
Vidya khan,45,Female,Suburban,2024,Not able to vote,During the campaign,Candidate,BSP,No response,"No one, I voted on my own",Other,Not at all,Yes,Much worse,1,National Security,No,Yes,No,2,Improving infrastructure,No response,Other
Vidya khan,45,Female,Suburban,2025,Able to vote,A day or two before voting,Candidate,INC,No good alternative,Local political leader,No response,Great deal,Don't know,Much worse,3,Education,No,No,Yes,4,Modi's leadership,Statement 2: Important for the same party to remain,Rahul Gandhi
sushant Nair,39,Non-binary,Suburban,2020,Able to vote,During the campaign,Candidate,INC,Really wanted to vote,Don't know,Was ill,No response,Did not respond,Much better,5,National Security,No,Yes,No,5,Reducing poverty,Statement 1: Promotes development,No response
sushant Nair,39,Non-binary,Suburban,2021,Able to vote,Even before announcement of candidates,PM candidate,BJP,No response,Religious leader,No response,No response,Did not respond,No response,3,Healthcare,Yes,Yes,Don't know,3,Employment opportunities,No response,Rahul Gandhi
sushant Nair,39,Non-binary,Suburban,2022,Able to vote,After announcement of candidates,Party,Not sure,No good alternative,Local political leader,No response,Great deal,Yes,Remained same,4,Healthcare,Not sure,No,Yes,2,Employment opportunities,No response,Rahul Gandhi
sushant Nair,39,Non-binary,Suburban,2023,Able to vote,Even before announcement of candidates,Party,AAP,Really wanted to vote,Caste/community leader,Was ill,Not at all,No,Worse,5,Healthcare,Yes,Yes,No,5,Improving infrastructure,No response,Other
sushant Nair,39,Non-binary,Suburban,2024,Able to vote,After announcement of candidates,PM candidate,Not sure,No response,Friends/neighbors,Did not have necessary documents,Not at all,Don't know,Much worse,2,Other,Not sure,Yes,No,3,Reducing poverty,Statement 1: Promotes development,No response
